Msg#,Utterance #,Date,Time,User ID,Gender,Message,Reply to_ID,Category,Reply to_cell,Up&Down,act,politeness,meta
170,1,250127,,SantyagoMP,,Edit: grammar,CallSign_Fjor,Comment,D2,1.0,Repair,,
171,1,250127,,Hsanrb,,"When groups of friends play a game, they assume you are going to play TOGETHER.",CallSign_Fjor,Comment,D2,1.0,Behave,,
172,1,250127,,Hsanrb,,You could have started a NEW character on a NEW World and been none the wiser.,CallSign_Fjor,Comment,D2,1.0,Direct,,
173,1,250127,,binchfung,,Progression of the other players really kills my interest. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
174,1,250127,,binchfung,,"A lot of what is fun about playing games with others is discovering things as a group. Otherwise, it's like going to watch a movie with friends who have all seen the movie except you.",CallSign_Fjor,Comment,D2,1.0,Claim,,
175,1,250127,,binchfung,,"I'll wait to play those games with those friends if possible. Some of the games I will start another character, but I won't progress past where we got as a group out of principle.",CallSign_Fjor,Comment,D2,1.0,Desire,,
176,1,250127,,swizz1st,,Bro has zero empathy,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
177,1,250127,,afallingape,,"Gaming is pleasurable because games are designed to satisfy our natural problem solving process. Encounter a problem, compare to a previous database, find pattern similarities, trial and error, tweak, repeat. If someone takes the discovery process away (i.e. spoilers or carrying or looking at a guide), it ruins the enjoyment. The enjoyment of a game isn't in beating a boss or getting through whatever obstacle, it's in the process of solving the problem and getting better. If you're beating the game solo, going back to your friends, and then carrying or coaching - you're ruining their ability to enjoy the game. Even if you're just keeping quiet and trying to let them figure it out, it sucks the fun out of the room because they know that you know the answer and you can't be a part of their process.",CallSign_Fjor,Comment,D2,1.0,Claim,,
178,1,250127,,afallingape,,"For those reasons, it's really bad etiquette to play ahead. ",CallSign_Fjor,Comment,D2,1.0,Behave,,
179,1,250127,,afallingape,,"If you're in a group game, either play at the group pace or don't play with the group. ",CallSign_Fjor,Comment,D2,1.0,Direct,,
180,1,250127,,afallingape,,The pax dei example is goofy though. I think that guy was probably just being a bitch. MMOs are a bit different imo,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
181,1,250127,,Siukslinis_acc,,Some people want to be on equal footing. You having progressed further in game than them (when you all started on equal footing) brings it out of balance.,CallSign_Fjor,Comment,D2,1.0,Claim,,
182,1,250127,,Stuckinamotivation,,Your responses are so strange. It's like you genuinely can't understand that the people who call you a friend enjoy your company and wanted to experience something with you for the first time. ,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
183,1,250127,,Stuckinamotivation,,"If you going off and finishing the game by yourself really has no impact on their experience in your eyes, then why are you there at all?",CallSign_Fjor,Comment,D2,1.0,Reject,,
184,1,250127,,WhispyWillow7,,"It's an experience to go through it together,",CallSign_Fjor,Comment,D2,1.0,Claim,,
185,1,250127,,WhispyWillow7,,"you ran ahead, and brought in loot from another run. I'm guessing Terraria. ",CallSign_Fjor,Comment,,,Claim,,
186,1,250127,,WhispyWillow7,,I run server side characters ,CallSign_Fjor,Comment,D2,1.0,Inform,,
187,1,250127,,WhispyWillow7,,"because players who do this activity ruin it for the rest of us. We don't want to be your pets while you lord out your equipment and other items and are 'above us'. We wanted to go through it together, and get ahead together, ",CallSign_Fjor,Comment,D2,1.0,Behave,-P,
188,1,250127,,WhispyWillow7,,and you probably had more than just summons in your inventory.,CallSign_Fjor,Comment,D2,1.0,Claim,,
189,1,250127,,WhispyWillow7,,It's not uncommon also for other people to cheat their items in single player then bring them to multiplayer. ,CallSign_Fjor,Comment,D2,1.0,Inform,,
190,1,250127,,WhispyWillow7,,"Often try to pass off end game weaons that looks similar to start ones, etc, so they have all the advantages while other struggle but they're 'soo good' and not dying.",CallSign_Fjor,Comment,D2,1.0,Claim,-P,
191,1,250127,,WhispyWillow7,,"No, I realize the details may not all apply to you,",CallSign_Fjor,Comment,D2,1.0,Reject,+N,
192,1,250127,,WhispyWillow7,,but no one likes it and cares for that behavior. It's cheating. ,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
193,1,250127,,WhispyWillow7,,"What if they all went to single player too, and just came back to play with you? You'd be way less interested too.",CallSign_Fjor,Comment,D2,1.0,Elaborate,,
194,1,250127,,VanStudios,,It’s a different thing to start a game from ground zero together exploring and learning new mechanics than having a guy already knowing what to do and making him tell you “do this do that”.,CallSign_Fjor,Comment,D2,1.0,Claim,,
195,1,250127,,thefolocaust,,I get what your friends are saying. ,CallSign_Fjor,Comment,D2,1.0,Accept,,
196,1,250127,,thefolocaust,,If I play a game with someone who's played it before I feel like I'm being led. Part of the fun of playing games together is figuring it out together.,CallSign_Fjor,Comment,D2,1.0,Claim,,
197,1,250127,,thefolocaust,,Clearly your friends have that mindset to a slightly higher degree than me ,CallSign_Fjor,Comment,D2,1.0,Claim,,
198,1,250127,,thefolocaust,,so if you want to carry on playing with them just don't play ahead. ,CallSign_Fjor,Comment,D2,1.0,Direct,,
199,1,250127,,thefolocaust,,"There's so many games out there to play single player, just do that",CallSign_Fjor,Comment,D2,1.0,Direct,-N,
200,1,250127,,thefolocaust,,otherwise you'll end up not playing together at all,CallSign_Fjor,Comment,,,Elaborate,,
201,1,250128,,BustaScrub,,"But... You didn't just use ""what would be available"" since the extra summons wouldn't be available. Not to mention your health/mana upgrades. ",CallSign_Fjor,Comment,D2,1.0,Reject,,
202,1,250128,,BustaScrub,,This is all the more frustrating knowing this could've been avoided if you just took the 10 seconds to make a SP character and just kept both entirely separate.,CallSign_Fjor,Comment,,,Direct,-P,
203,1,250128,,BustaScrub,,Also seems like you fail to understand that part of the commitment in doing a group activity and experiencing something together is... ,CallSign_Fjor,Comment,D2,1.0,Repair,,
204,1,250128,,BustaScrub,,Experiencing that thing together? ,CallSign_Fjor,Comment,D2,1.0,Inquire,,
205,1,250128,,BustaScrub,,Truly don't understand the disconnect here. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
206,1,250128,,BustaScrub,,Sounds like you just might not be a great communicator? ,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
207,1,250128,,BustaScrub,,I try not to glean too much from one online interaction but if you say they've had similar complaints before and you still keep doing similar things... Sounds like you're a bad listener and not the most thoughtful friend. Not shocking that they're left feeling defeated and not wanting to play with you much. ,CallSign_Fjor,Comment,D2,1.0,Reject,-P,
208,1,250128,,BustaScrub,,"Just calling it how I see it, you do you, ",CallSign_Fjor,Comment,D2,1.0,Claim,,
209,1,250128,,BustaScrub,,but don't be surprised if they do them in return.,CallSign_Fjor,Comment,D2,1.0,Direct,,
210,1,250129,,Regular_Bake_4013,,"My husband and i have games that we strictly play together, and we enjoy that because we want to experience the story together. So we have our own solo games to play when we're not together. ",CallSign_Fjor,Comment,D2,1.0,Claim,,
211,1,250129,,Regular_Bake_4013,,Your friends just wanted to play it through the first time together. ,CallSign_Fjor,Comment,D2,1.0,Claim,,
212,1,250129,,Regular_Bake_4013,,"You've come here to get an answer to your question, and you've responded multiple times still being stuck to your point of view. ",CallSign_Fjor,Comment,D2,1.0,Behave,,
213,1,250129,,Regular_Bake_4013,,"If you don't understand other peoples needs past your own, your not gonna learn anything. ",CallSign_Fjor,Comment,D2,1.0,Behave,,
214,1,250129,,Regular_Bake_4013,,Something isnt clicking. Not that any of this is that serious though lol. ,CallSign_Fjor,Comment,D2,1.0,Claim,+P,
215,1,250129,,Regular_Bake_4013,,"Youre gonna do you and thats fine,",CallSign_Fjor,Comment,D2,1.0,Accept,+P,
216,1,250129,,Regular_Bake_4013,,you just might have more upset friends in the future. ,CallSign_Fjor,Comment,,,Desire,,
217,1,250129,,Regular_Bake_4013,,"But other people calling you an asshole for it is wrong,",CallSign_Fjor,Comment,,,Reject,,
218,1,250129,,Regular_Bake_4013,, I think you just don't understand and thats fine.,CallSign_Fjor,Comment,,,Claim,+P,
